Y Coordinate,X Coordinate
3584,3812
3584,3813
3584,3815
3584,3835
3584,3898
3584,4944
3585,3811
3585,3813
3585,3814
3585,3815
3585,3835
3585,3898
3585,3899
3585,4944
3586,3810
3586,3814
3586,3815
3586,3830
3586,3831
3586,3832
3586,3833
3586,3834
3586,3899
3586,3900
3586,3901
3586,3927
3586,3928
3586,3929
3586,3930
3586,3931
3586,3932
3586,3936
3586,3937
3586,3938
3586,3939
3586,3947
3586,3948
3586,4943
3587,3810
3587,3811
3587,3829
3587,3901
3587,3902
3587,3903
3587,3904
3587,3917
3587,3918
3587,3919
3587,3920
3587,3921
3587,3922
3587,3923
3587,3924
3587,3925
3587,3926
3587,3932
3587,3933
3587,3934
3587,3935
3587,3939
3587,3940
3587,3945
3587,3946
3587,3948
3587,4941
3587,4942
3588,3811
3588,3812
3588,3828
3588,3904
3588,3905
3588,3908
3588,3909
3588,3910
3588,3911
3588,3916
3588,3935
3588,3936
3588,3940
3588,3941
3588,3942
3588,3943
3588,3944
3588,3947
3588,3948
3588,4940
3589,3812
3589,3825
3589,3826
3589,3827
3589,3905
3589,3906
3589,3907
3589,3911
3589,3912
3589,3913
3589,3914
3589,3915
3589,3934
3589,3936
3589,3937
3589,3944
3589,3945
3589,3946
3589,4940
3590,3812
3590,3813
3590,3823
3590,3824
3590,3933
3590,3937
3590,3943
3590,4940
3591,3813
3591,3814
3591,3815
3591,3816
3591,3817
3591,3818
3591,3822
3591,3933
3591,3934
3591,3937
3591,3942
3591,4940
3592,3818
3592,3819
3592,3820
3592,3821
3592,3822
3592,3934
3592,3935
3592,3936
3592,3941
3592,4940
3592,4941
3593,3940
3593,4941
3593,4942
3594,3939
3594,4942
3595,3937
3595,3938
3595,4942
3596,3936
3596,4941
3597,3883
3597,3884
3597,3927
3597,3928
3597,3935
3597,4941
3598,3882
3598,3884
3598,3885
3598,3898
3598,3899
3598,3923
3598,3924
3598,3925
3598,3926
3598,3928
3598,3929
3598,3930
3598,3931
3598,3932
3598,3933
3598,3934
3598,3935
3598,4940
3599,3881
3599,3885
3599,3897
3599,3899
3599,3900
3599,3920
3599,3921
3599,3922
3599,4940
3600,3881
3600,3882
3600,3885
3600,3896
3600,3900
3600,3909
3600,3910
3600,3911
3600,3912
3600,3913
3600,3914
3600,3915
3600,3916
3600,3917
3600,3918
3600,3919
3600,4939
3601,3882
3601,3883
3601,3884
3601,3895
3601,3900
3601,3908
3601,4939
3602,3894
3602,3895
3602,3898
3602,3899
3602,3906
3602,3907
3602,4939
3603,3895
3603,3896
3603,3897
3603,3904
3603,3905
3603,4939
3603,4940
3604,3898
3604,3899
3604,3900
3604,3901
3604,3902
3604,3903
3604,4940
3605,3897
3605,4939
3606,3896
3606,4939
3607,3896
3607,4938
3608,3896
3608,4938
3609,3895
3609,4938
3610,3894
3610,4937
3611,3893
3611,4937
3612,3892
3612,4937
3613,3892
3613,4918
3613,4919
3613,4936
3613,4937
3614,3891
3614,4917
3614,4919
3614,4920
3614,4921
3614,4937
3615,3890
3615,4917
3615,4921
3615,4937
3616,3890
3616,4916
3616,4917
3616,4921
3616,4936
3617,3889
3617,4917
3617,4921
3617,4935
3618,3888
3618,4917
3618,4921
3618,4935
3619,3888
3619,4917
3619,4921
3619,4933
3619,4934
3620,3887
3620,4917
3620,4921
3620,4928
3620,4929
3620,4930
3620,4931
3620,4932
3621,3886
3621,4916
3621,4920
3621,4921
3621,4927
3622,3886
3622,4916
3622,4921
3622,4926
3623,3885
3623,4916
3623,4921
3623,4922
3623,4923
3623,4924
3623,4925
3624,3884
3624,4916
3625,3883
3625,4916
3626,3882
3626,4915
3627,3882
3627,4914
3628,3881
3628,4913
3629,3877
3629,3878
3629,3879
3629,3880
3629,4912
3629,4913
3630,3876
3630,4913
3631,3876
3631,4912
3631,4913
3632,3876
3632,3877
3632,4911
3632,4912
3632,4913
3633,3877
3633,4911
3634,3876
3634,4911
3634,4912
3635,3876
3635,4912
3636,3873
3636,3874
3636,3875
3636,4911
3637,3872
3637,4910
3638,3872
3638,4909
3639,3871
3639,4909
3640,3870
3640,4909
3641,3869
3641,4909
3642,3868
3642,4909
3642,4910
3643,3868
3643,4910
3644,3868
3644,4909
3645,3868
3645,4909
3646,3868
3646,4908
3647,3867
3647,4907
3648,3867
3648,4905
3648,4906
3649,3867
3649,4904
3650,3867
3650,4904
3651,3866
3651,3868
3651,4903
3651,4904
3651,4905
3651,4906
3652,3743
3652,3744
3652,3745
3652,3746
3652,3747
3652,3865
3652,3867
3652,3868
3652,3869
3652,4906
3652,4907
3653,3742
3653,3747
3653,3748
3653,3864
3653,3868
3653,3869
3653,4907
3654,3741
3654,3748
3654,3864
3654,4907
3654,4908
3655,3740
3655,3748
3655,3864
3655,4908
3655,4909
3656,3740
3656,3741
3656,3744
3656,3745
3656,3748
3656,3864
3656,4909
3657,3735
3657,3736
3657,3737
3657,3741
3657,3742
3657,3743
3657,3745
3657,3746
3657,3747
3657,3864
3657,4909
3658,3727
3658,3728
3658,3731
3658,3732
3658,3733
3658,3734
3658,3737
3658,3738
3658,3863
3658,4909
3659,3726
3659,3728
3659,3729
3659,3730
3659,3738
3659,3862
3659,3863
3659,4908
3660,3725
3660,3738
3660,3739
3660,3861
3660,4907
3661,3725
3661,3739
3661,3740
3661,3741
3661,3860
3661,4899
3661,4900
3661,4901
3661,4902
3661,4903
3661,4904
3661,4905
3661,4906
3662,3725
3662,3726
3662,3727
3662,3728
3662,3741
3662,3742
3662,3860
3662,3861
3662,4898
3663,3728
3663,3729
3663,3742
3663,3861
3663,4895
3663,4896
3663,4897
3664,3721
3664,3722
3664,3723
3664,3724
3664,3725
3664,3726
3664,3729
3664,3742
3664,3860
3664,4894
3665,3720
3665,3726
3665,3727
3665,3728
3665,3729
3665,3740
3665,3741
3665,3860
3665,4894
3666,3719
3666,3727
3666,3728
3666,3729
3666,3739
3666,3859
3666,4893
3667,3719
3667,3720
3667,3738
3667,3858
3667,4892
3668,3720
3668,3721
3668,3722
3668,3723
3668,3731
3668,3732
3668,3733
3668,3734
3668,3735
3668,3736
3668,3737
3668,3823
3668,3824
3668,3858
3668,4890
3668,4891
3669,3723
3669,3730
3669,3822
3669,3824
3669,3825
3669,3857
3669,4889
3670,3723
3670,3727
3670,3728
3670,3729
3670,3821
3670,3825
3670,3857
3670,4878
3670,4879
3670,4880
3670,4888
3671,3723
3671,3726
3671,3821
3671,3825
3671,3857
3671,4876
3671,4877
3671,4880
3671,4881
3671,4882
3671,4887
3672,3723
3672,3724
3672,3725
3672,3820
3672,3821
3672,3822
3672,3823
3672,3824
3672,3856
3672,4875
3672,4882
3672,4883
3672,4884
3672,4885
3672,4886
3673,3856
3673,4874
3674,3855
3674,4874
3675,3854
3675,4873
3676,3852
3676,3853
3676,4873
3676,4874
3677,3774
3677,3775
3677,3796
3677,3797
3677,3851
3677,4874
3678,3773
3678,3775
3678,3776
3678,3777
3678,3778
3678,3779
3678,3795
3678,3797
3678,3798
3678,3849
3678,3850
3678,4874
3679,3772
3679,3779
3679,3780
3679,3794
3679,3795
3679,3798
3679,3799
3679,3846
3679,3847
3679,3848
3679,4874
3680,3772
3680,3780
3680,3795
3680,3799
3680,3844
3680,3845
3680,4874
3681,3771
3681,3780
3681,3795
3681,3796
3681,3799
3681,3800
3681,3842
3681,3843
3681,4873
3682,3770
3682,3780
3682,3796
3682,3797
3682,3800
3682,3801
3682,3841
3682,4873
3683,3770
3683,3780
3683,3797
3683,3801
3683,3841
3683,4873
3684,3770
3684,3771
3684,3780
3684,3797
3684,3798
3684,3801
3684,3840
3684,4873
3685,3771
3685,3772
3685,3780
3685,3798
3685,3799
3685,3800
3685,3838
3685,3839
3685,4873
3686,3772
3686,3780
3686,3837
3686,4873
3687,3772
3687,3773
3687,3780
3687,3803
3687,3804
3687,3837
3687,4870
3687,4871
3687,4872
3688,3773
3688,3774
3688,3775
3688,3778
3688,3779
3688,3802
3688,3804
3688,3805
3688,3836
3688,4869
3689,3775
3689,3776
3689,3777
3689,3801
3689,3802
3689,3805
3689,3836
3689,4869
3689,4870
3690,3755
3690,3756
3690,3764
3690,3765
3690,3802
3690,3803
3690,3804
3690,3835
3690,4870
3690,4871
3691,3754
3691,3756
3691,3757
3691,3763
3691,3765
3691,3766
3691,3767
3691,3834
3691,3835
3691,4871
3692,3753
3692,3757
3692,3760
