Y Coordinate,X Coordinate
2048,1942
2048,2429
2049,1942
2049,2429
2049,2430
2049,2431
2050,1942
2050,2431
2051,1942
2051,2431
2051,2432
2052,1942
2052,2432
2053,1942
2053,2432
2053,2433
2054,1942
2054,2433
2055,1941
2055,2433
2055,2434
2055,2435
2056,1941
2056,1942
2056,1943
2056,2435
2057,1943
2057,2435
2057,2436
2058,1943
2058,2436
2059,1943
2059,1958
2059,1959
2059,2436
2059,2437
2059,2438
2060,1943
2060,1944
2060,1945
2060,1946
2060,1947
2060,1949
2060,1950
2060,1957
2060,1959
2060,2438
2060,2439
2060,2440
2061,1947
2061,1948
2061,1950
2061,1957
2061,1959
2061,2440
2061,2441
2061,2442
2061,2443
2061,2446
2061,2447
2061,2448
2062,1947
2062,1948
2062,1950
2062,1957
2062,1958
2062,1959
2062,1960
2062,2443
2062,2444
2062,2445
2062,2448
2063,1950
2063,1956
2063,1960
2063,2448
2063,2449
2063,2450
2063,2451
2063,2452
2064,1950
2064,1951
2064,1955
2064,1956
2064,1957
2064,1960
2064,2452
2064,2453
2065,1951
2065,1957
2065,1960
2065,2453
2066,1951
2066,1952
2066,1956
2066,1957
2066,1960
2066,2453
2066,2454
2066,2455
2067,1952
2067,1955
2067,1960
2067,2455
2068,1952
2068,1953
2068,1954
2068,1955
2068,1956
2068,1957
2068,1959
2068,1960
2068,2455
2068,2456
2068,2457
2068,2458
2068,2459
2069,1954
2069,1957
2069,1958
2069,2459
2070,1954
2070,1955
2070,1957
2070,1958
2070,2459
2070,2460
2070,2461
2071,1955
2071,1992
2071,1993
2071,1994
2071,2461
2072,1955
2072,1991
2072,1994
2072,1995
2072,1996
2072,1997
2072,2461
2072,2469
2073,1955
2073,1956
2073,1957
2073,1958
2073,1989
2073,1990
2073,1991
2073,1997
2073,2460
2073,2468
2073,2469
2074,1958
2074,1973
2074,1974
2074,1988
2074,1997
2074,1999
2074,2000
2074,2460
2074,2468
2074,2469
2075,1958
2075,1959
2075,1972
2075,1974
2075,1980
2075,1981
2075,1982
2075,1983
2075,1984
2075,1985
2075,1986
2075,1987
2075,1988
2075,1993
2075,1994
2075,1997
2075,1998
2075,2000
2075,2001
2075,2460
2076,1959
2076,1972
2076,1974
2076,1975
2076,1976
2076,1977
2076,1978
2076,1979
2076,1992
2076,1994
2076,2001
2076,2460
2076,2461
2076,2462
2076,2463
2076,2469
2077,1959
2077,1962
2077,1972
2077,1992
2077,1994
2077,1995
2077,1996
2077,1997
2077,1998
2077,1999
2077,2000
2077,2001
2077,2463
2077,2468
2077,2469
2078,1959
2078,1961
2078,1962
2078,1970
2078,1971
2078,1972
2078,1991
2078,2000
2078,2001
2078,2463
2078,2464
2078,2465
2078,2466
2078,2468
2078,2469
2079,1959
2079,1960
2079,1962
2079,1963
2079,1964
2079,1965
2079,1966
2079,1967
2079,1968
2079,1969
2079,1989
2079,1990
2079,1991
2079,1999
2079,2000
2079,2001
2079,2466
2080,1968
2080,1969
2080,1979
2080,1980
2080,1981
2080,1982
2080,1983
2080,1984
2080,1985
2080,1988
2080,2466
2081,1915
2081,1978
2081,1985
2081,1988
2081,2466
2081,2467
2081,2468
2082,1914
2082,1915
2082,1916
2082,1938
2082,1939
2082,1974
2082,1975
2082,1977
2082,1978
2082,1985
2082,1986
2082,1987
2082,1988
2082,2468
2083,1914
2083,1916
2083,1917
2083,1937
2083,1939
2083,1973
2083,1975
2083,1976
2083,2468
2083,2469
2083,2470
2084,1914
2084,1916
2084,1917
2084,1918
2084,1937
2084,1939
2084,1947
2084,1972
2084,1975
2084,1976
2084,2470
2084,2483
2084,2484
2084,2485
2085,1914
2085,1915
2085,1917
2085,1918
2085,1935
2085,1936
2085,1938
2085,1939
2085,1946
2085,1947
2085,1961
2085,1962
2085,1970
2085,1971
2085,1972
2085,2470
2085,2471
2085,2472
2085,2482
2085,2485
2086,1913
2086,1914
2086,1915
2086,1916
2086,1917
2086,1918
2086,1934
2086,1939
2086,1940
2086,1946
2086,1947
2086,1948
2086,1957
2086,1958
2086,1959
2086,1960
2086,1962
2086,1969
2086,2472
2086,2482
2086,2485
2087,1912
2087,1918
2087,1934
2087,1940
2087,1941
2087,1946
2087,1948
2087,1956
2087,1959
2087,1960
2087,1961
2087,1962
2087,1963
2087,1964
2087,1965
2087,1966
2087,1967
2087,1969
2087,2471
2087,2472
2087,2474
2087,2475
2087,2476
2087,2477
2087,2478
2087,2479
2087,2480
2087,2481
2087,2482
2087,2485
2088,1912
2088,1913
2088,1914
2088,1915
2088,1918
2088,1934
2088,1941
2088,1946
2088,1948
2088,1949
2088,1950
2088,1951
2088,1952
2088,1953
2088,1954
2088,1955
2088,1956
2088,1967
2088,1969
2088,2470
2088,2473
2088,2485
2089,1915
2089,1918
2089,1934
2089,1935
2089,1941
2089,1942
2089,1943
2089,1945
2089,1967
2089,1969
2089,2470
2089,2473
2089,2485
2089,2486
2089,2487
2089,2488
2090,1913
2090,1914
2090,1915
2090,1917
2090,1918
2090,1935
2090,1943
2090,1945
2090,1967
2090,1969
2090,2469
2090,2472
2090,2488
2091,1912
2091,1916
2091,1935
2091,1936
2091,1937
2091,1942
2091,1945
2091,1967
2091,1969
2091,2469
2091,2470
2091,2471
2091,2472
2091,2488
2091,2489
2092,1912
2092,1914
2092,1915
2092,1916
2092,1937
2092,1942
2092,1945
2092,1967
2092,1968
2092,2489
2093,1912
2093,1913
2093,1937
2093,1942
2093,1943
2093,1944
2093,1945
2093,2489
2093,2490
2093,2491
2093,2492
2094,1937
2094,2492
2095,1936
2095,1937
2095,1938
2095,2492
2095,2493
2096,1937
2096,1938
2096,2493
2097,1936
2097,1937
2097,1938
2097,2493
2097,2494
2097,2495
2097,2496
2098,1927
2098,1928
2098,1936
2098,1937
2098,1938
2098,2496
2099,1913
2099,1914
2099,1915
2099,1926
2099,1928
2099,1938
2099,2496
2099,2497
