Y Coordinate,X Coordinate
91,7750
91,7751
91,7752
91,7753
91,7754
91,7755
91,7756
91,7757
91,7758
91,7759
91,7760
91,7761
91,7762
91,7763
91,7764
91,7765
91,7766
91,7767
91,7768
91,7769
91,7770
91,7771
91,7772
91,7773
91,7774
91,7775
91,7776
91,7777
91,7778
91,7779
91,7780
91,7781
91,7782
91,7783
91,7784
91,7785
91,7786
91,7787
91,7788
91,7789
91,7790
91,7791
91,7792
91,7793
91,7794
91,7795
91,7796
91,7797
91,7798
91,7799
91,7800
91,7801
91,7802
91,7803
91,7804
91,7805
91,7806
92,7736
92,7749
92,7806
92,7807
92,7808
92,7809
92,7810
92,7811
92,7812
92,7813
92,7814
92,7815
92,7816
92,7817
92,7818
92,7819
92,7820
92,7821
92,7822
92,7823
92,7824
92,7825
92,7826
92,7827
92,7828
92,7829
92,7830
92,7831
92,7832
92,7833
92,7834
92,7835
92,7837
92,7838
92,7839
92,7840
92,7841
92,7842
92,7843
92,7844
92,7845
92,7846
92,7847
92,7848
92,7849
92,7850
92,7857
92,7858
92,7859
92,7860
92,7861
92,7863
92,7864
92,7865
92,7866
92,7867
92,7868
92,7869
92,7870
92,7871
92,7872
93,7735
93,7736
93,7737
93,7738
93,7739
93,7740
93,7741
93,7742
93,7743
93,7744
93,7745
93,7746
93,7747
93,7748
93,7749
93,7835
93,7836
93,7842
93,7843
93,7850
93,7856
93,7861
93,7862
93,7872
93,7873
93,7874
93,7875
93,7876
93,7877
93,7878
93,7879
93,7880
93,7881
93,7882
93,7883
93,7884
93,7885
93,7886
93,7887
93,7888
93,7889
93,7890
93,7891
93,7892
93,7893
93,7894
93,7895
93,7896
93,7897
93,7898
93,7899
93,7900
93,7901
93,7902
93,7903
93,7904
93,7905
93,7906
93,7907
93,7908
93,7909
93,7910
93,7911
93,7912
93,7913
93,7914
93,7915
93,7916
93,7917
93,7918
93,7919
93,7920
93,7921
93,7922
93,7923
93,7924
93,7925
93,7926
93,7927
93,7928
93,7929
93,7930
93,7931
93,7932
93,7933
93,7934
93,7935
93,7936
93,7937
94,7735
94,7841
94,7842
94,7843
94,7850
94,7851
94,7852
94,7853
94,7854
94,7855
94,7856
94,7937
94,7938
94,7939
94,7940
94,7941
94,7942
94,7943
94,7944
94,7945
94,7946
94,7947
94,7948
94,7949
94,7950
94,7951
94,7952
94,7953
94,7954
94,7955
94,7956
94,7957
94,7958
94,7959
94,7960
94,7961
94,7962
94,7963
94,7964
94,7965
94,7966
94,7967
94,7968
94,7969
94,7970
94,7971
94,7972
94,7973
94,7974
94,7975
94,7976
94,7977
94,7978
94,7979
94,7980
94,7981
94,7982
94,7983
94,7984
94,7985
94,7986
94,7987
94,7988
94,7989
94,7990
94,7991
94,7992
94,7993
94,7994
94,7995
94,7996
94,7997
94,7998
94,7999
94,8000
94,8001
94,8002
95,7731
95,7732
95,7733
95,7734
95,8002
95,8003
95,8004
95,8005
95,8006
95,8007
95,8008
95,8009
95,8010
95,8011
95,8012
95,8013
95,8014
95,8015
95,8016
95,8017
95,8018
95,8019
95,8020
95,8021
95,8022
95,8023
95,8024
95,8025
95,8026
95,8027
95,8028
95,8029
95,8030
95,8031
95,8032
95,8033
95,8034
95,8035
95,8036
95,8037
95,8038
95,8039
95,8040
95,8041
95,8042
95,8043
95,8044
95,8045
95,8046
95,8047
95,8048
95,8049
95,8050
95,8051
95,8052
95,8053
95,8054
95,8055
95,8056
95,8057
95,8058
95,8059
95,8060
95,8061
95,8062
95,8063
95,8064
95,8065
95,8066
96,7728
96,7729
96,7730
96,8066
96,8067
96,8068
96,8069
96,8070
96,8071
96,8072
96,8073
96,8074
96,8075
96,8076
96,8077
96,8078
96,8079
96,8080
96,8081
96,8082
96,8083
96,8084
96,8085
96,8086
96,8087
96,8088
96,8089
96,8090
96,8091
96,8092
96,8093
96,8094
96,8095
96,8096
96,8097
96,8098
96,8099
96,8100
96,8101
96,8102
96,8103
96,8104
96,8105
96,8106
96,8107
96,8108
96,8109
96,8110
96,8111
96,8112
96,8113
96,8114
96,8115
96,8116
96,8117
96,8118
96,8119
96,8120
96,8121
96,8122
96,8123
96,8124
96,8125
96,8126
96,8127
96,8128
96,8129
97,7725
97,7726
97,7727
97,8129
97,8130
97,8131
97,8132
97,8133
97,8134
97,8135
97,8138
97,8139
97,8140
97,8141
97,8142
97,8143
97,8144
97,8145
97,8146
97,8147
97,8148
97,8149
97,8150
97,8151
97,8152
97,8153
97,8154
97,8155
97,8156
97,8157
97,8158
97,8159
97,8160
97,8161
97,8162
97,8163
97,8164
97,8165
97,8166
97,8167
97,8168
97,8169
97,8170
97,8171
97,8172
97,8173
97,8174
97,8175
97,8176
97,8177
97,8178
97,8179
97,8184
97,8185
97,8186
97,8187
97,8188
97,8189
97,8190
97,8191
97,8192
98,7724
98,8135
98,8137
98,8138
98,8139
98,8140
98,8141
98,8179
98,8180
98,8181
98,8182
98,8183
98,8192
98,8193
98,8194
98,8195
98,8196
98,8197
98,8198
98,8199
98,8200
98,8201
98,8202
98,8203
98,8204
98,8205
98,8206
98,8207
98,8208
98,8209
98,8210
98,8211
98,8212
98,8213
98,8214
98,8215
98,8216
98,8217
98,8218
98,8219
98,8220
98,8221
98,8222
98,8223
98,8224
98,8225
98,8226
98,8227
98,8228
98,8229
98,8230
98,8231
98,8232
98,8233
98,8234
98,8235
98,8236
98,8237
98,8238
98,8239
98,8240
98,8241
98,8242
98,8243
98,8244
98,8245
98,8246
98,8247
98,8248
98,8249
98,8250
98,8251
98,8252
98,8253
98,8254
99,7723
99,8135
99,8136
99,8137
99,8138
99,8139
99,8140
99,8141
99,8254
99,8255
99,8256
99,8257
99,8258
99,8259
99,8260
99,8261
99,8262
99,8263
99,8264
99,8265
99,8266
99,8267
99,8268
99,8269
99,8270
99,8271
99,8272
99,8273
99,8274
99,8275
99,8276
99,8277
99,8278
99,8279
99,8280
99,8281
99,8282
99,8283
99,8284
99,8285
99,8286
99,8287
99,8288
99,8289
99,8290
99,8291
99,8292
99,8293
99,8294
99,8295
99,8296
99,8297
99,8298
99,8299
99,8300
99,8301
99,8302
99,8303
99,8304
99,8305
99,8306
99,8307
99,8308
99,8309
99,8310
99,8311
99,8312
99,8313
99,8314
99,8315
99,8316
100,7722
100,8316
100,8317
100,8318
100,8319
100,8320
100,8321
100,8322
100,8323
100,8324
100,8325
100,8326
100,8327
100,8328
100,8329
100,8330
100,8331
100,8332
100,8333
100,8334
100,8335
100,8336
100,8337
100,8338
100,8339
100,8340
100,8341
100,8342
100,8343
100,8344
100,8345
101,7721
101,8345
101,8346
102,7718
102,7719
102,7720
102,8346
102,8485
102,8486
103,7717
