Y Coordinate,X Coordinate
501,7413
501,8399
501,8571
501,8572
501,8646
501,8647
501,8854
502,7410
502,7411
502,7412
502,8399
502,8570
502,8647
502,8853
502,8854
503,7407
503,7408
503,7409
503,8398
503,8569
503,8647
503,8648
503,8854
504,7403
504,7404
504,7405
504,7406
504,8397
504,8568
504,8648
504,8854
504,8855
505,7402
505,8394
505,8395
505,8396
505,8397
505,8568
505,8648
505,8649
505,8752
505,8753
505,8754
505,8755
505,8855
506,7398
506,7401
506,8393
506,8567
506,8649
506,8650
506,8651
506,8750
506,8751
506,8755
506,8756
506,8855
507,7397
507,7398
507,7399
507,7400
507,8392
507,8567
507,8651
507,8749
507,8750
507,8756
507,8855
507,8856
508,7394
508,7395
508,7396
508,8391
508,8566
508,8651
508,8652
508,8750
508,8751
508,8755
508,8856
509,7393
509,8391
509,8565
509,8652
509,8751
509,8752
509,8755
509,8756
509,8856
509,8857
510,7392
510,8391
510,8392
510,8565
510,8652
510,8653
510,8752
510,8753
510,8754
510,8756
510,8783
510,8784
510,8857
510,8858
511,7391
511,8392
511,8564
511,8653
511,8654
511,8754
511,8755
511,8782
511,8783
511,8784
511,8785
511,8858
511,8859
512,7390
512,8392
512,8393
512,8564
512,8654
512,8655
512,8783
512,8784
512,8785
512,8786
512,8859
513,7388
513,7389
513,8393
513,8394
513,8563
513,8655
513,8686
513,8687
513,8688
513,8689
513,8690
513,8691
513,8692
513,8784
513,8785
513,8786
513,8859
513,8860
514,7386
514,7387
514,8394
514,8563
514,8655
514,8656
514,8682
514,8683
514,8684
514,8685
514,8692
514,8693
514,8694
514,8695
514,8696
514,8697
514,8698
514,8785
514,8786
514,8787
514,8788
514,8789
514,8790
514,8860
514,8861
514,8862
515,7383
515,7384
515,7385
515,8394
515,8395
515,8563
515,8656
515,8657
515,8678
515,8679
515,8680
515,8681
515,8698
515,8699
515,8700
515,8701
515,8702
515,8703
515,8785
515,8790
515,8791
515,8862
515,8863
516,7382
516,8395
516,8562
516,8657
516,8658
516,8673
516,8674
516,8675
516,8676
516,8677
516,8703
516,8704
516,8705
516,8706
516,8785
516,8791
516,8792
516,8793
516,8863
516,8864
517,7381
517,8395
517,8396
517,8562
517,8658
517,8659
517,8660
517,8661
517,8666
517,8667
517,8668
517,8669
517,8670
517,8671
517,8672
517,8706
517,8707
517,8708
517,8784
517,8785
517,8793
517,8794
517,8795
517,8798
517,8799
517,8864
517,8865
518,7381
518,8396
518,8397
518,8562
518,8661
518,8662
518,8663
518,8664
518,8665
518,8708
518,8709
518,8710
518,8711
518,8712
518,8783
518,8795
518,8796
518,8797
518,8799
518,8800
518,8801
518,8802
518,8865
518,8866
519,7380
519,8397
519,8561
519,8712
519,8713
519,8714
519,8715
519,8716
519,8717
519,8718
519,8719
519,8720
519,8721
519,8722
519,8723
519,8724
519,8725
519,8726
519,8727
519,8728
519,8780
519,8781
519,8782
519,8802
519,8803
519,8804
519,8866
520,7380
520,8396
520,8561
520,8728
520,8729
520,8730
520,8731
520,8757
520,8758
520,8759
520,8760
520,8761
520,8779
520,8804
520,8805
520,8865
521,7379
521,8395
521,8561
521,8731
521,8732
521,8733
521,8734
521,8735
521,8756
521,8761
521,8762
521,8763
521,8764
521,8765
521,8778
521,8779
521,8780
521,8781
521,8782
521,8783
521,8805
521,8806
521,8864
522,7379
522,8395
522,8396
522,8561
522,8735
522,8736
522,8737
522,8738
522,8739
522,8740
522,8754
522,8755
522,8765
522,8766
522,8767
522,8768
522,8783
522,8784
522,8806
522,8864
523,7379
523,8396
523,8560
523,8740
523,8741
523,8742
523,8743
523,8744
523,8745
523,8746
523,8747
523,8748
523,8749
523,8750
523,8751
523,8752
523,8753
523,8768
523,8769
523,8770
523,8771
523,8784
523,8785
523,8786
523,8806
523,8807
523,8864
523,8865
524,7379
524,8396
524,8560
524,8771
524,8772
524,8773
524,8774
524,8786
524,8787
524,8788
524,8789
524,8790
524,8791
524,8807
524,8865
525,7378
525,8396
525,8397
525,8560
525,8774
525,8775
525,8776
525,8777
525,8791
525,8792
525,8793
525,8794
525,8795
525,8796
525,8807
525,8865
526,7378
526,8397
526,8560
526,8777
526,8778
526,8779
526,8796
526,8797
526,8798
526,8799
526,8800
526,8801
526,8802
526,8805
526,8806
526,8865
526,8866
527,7378
527,7379
527,8397
527,8398
527,8560
527,8779
527,8780
527,8781
527,8802
527,8803
527,8804
527,8866
527,8867
528,7379
528,8398
528,8560
528,8781
528,8782
528,8783
528,8867
528,8868
529,7378
529,8398
529,8399
529,8560
529,8783
529,8784
529,8785
529,8786
529,8868
529,8869
530,7378
530,8399
530,8560
530,8786
530,8787
530,8869
530,8870
531,7377
531,8399
531,8400
531,8559
531,8787
531,8788
531,8789
531,8870
531,8871
532,7377
532,8400
532,8401
532,8559
532,8789
532,8790
532,8791
532,8817
532,8818
532,8819
532,8820
532,8871
532,8872
533,7375
533,7376
533,8401
533,8559
533,8791
533,8792
533,8793
533,8816
533,8820
533,8821
533,8822
533,8823
533,8872
533,8873
534,7374
534,8401
534,8402
534,8559
534,8793
534,8794
534,8795
534,8813
534,8814
534,8815
534,8823
534,8824
534,8825
534,8873
534,8874
535,7373
535,8402
535,8403
535,8559
535,8795
535,8796
535,8797
535,8810
535,8811
535,8812
535,8825
535,8826
535,8827
535,8874
536,7373
536,8403
536,8558
536,8797
536,8798
536,8809
536,8827
536,8828
536,8874
536,8875
537,7373
537,8403
537,8404
537,8558
537,8798
537,8799
537,8800
537,8809
537,8810
537,8828
537,8829
537,8875
538,7372
538,8404
538,8558
538,8800
538,8801
538,8802
538,8810
538,8829
538,8830
538,8875
539,7371
539,8404
539,8405
539,8558
539,8802
539,8803
539,8804
539,8810
539,8811
539,8830
539,8831
539,8875
539,8876
540,7371
540,8405
540,8406
540,8558
540,8804
540,8805
540,8811
540,8812
540,8831
540,8876
541,7371
541,8406
541,8558
541,8805
541,8806
541,8807
541,8812
541,8813
541,8831
541,8876
541,8877
542,7371
542,8406
542,8407
542,8558
542,8807
542,8808
542,8813
542,8814
542,8831
542,8877
543,7370
543,8407
543,8408
543,8557
543,8808
543,8809
543,8810
543,8814
543,8815
543,8816
543,8830
543,8831
543,8877
543,8878
544,7370
544,8408
544,8409
544,8557
544,8810
544,8811
544,8812
544,8816
544,8817
544,8818
544,8819
544,8820
544,8831
544,8878
544,8879
545,7370
545,8409
545,8557
545,8812
545,8813
545,8820
545,8821
545,8822
545,8823
545,8824
545,8831
545,8879
545,8880
546,7369
546,8409
546,8410
546,8557
546,8813
546,8814
546,8824
546,8825
546,8826
546,8827
546,8828
546,8829
546,8830
546,8880
547,7369
547,8410
547,8557
547,8814
547,8880
547,8881
548,7369
548,7370
548,8410
548,8411
548,8556
548,8814
548,8815
548,8816
548,8881
548,8882
549,7370
549,8411
549,8412
549,8556
549,8816
549,8817
549,8882
549,8883
550,7370
550,8412
550,8413
