Y Coordinate,X Coordinate
99,7723
99,8135
99,8136
99,8137
99,8138
99,8139
99,8140
99,8141
99,8254
99,8255
99,8256
99,8257
99,8258
99,8259
99,8260
99,8261
99,8262
99,8263
99,8264
99,8265
99,8266
99,8267
99,8268
99,8269
99,8270
99,8271
99,8272
99,8273
99,8274
99,8275
99,8276
99,8277
99,8278
99,8279
99,8280
99,8281
99,8282
99,8283
99,8284
99,8285
99,8286
99,8287
99,8288
99,8289
99,8290
99,8291
99,8292
99,8293
99,8294
99,8295
99,8296
99,8297
99,8298
99,8299
99,8300
99,8301
99,8302
99,8303
99,8304
99,8305
99,8306
99,8307
99,8308
99,8309
99,8310
99,8311
99,8312
99,8313
99,8314
99,8315
99,8316
100,7722
100,8316
100,8317
100,8318
100,8319
100,8320
100,8321
100,8322
100,8323
100,8324
100,8325
100,8326
100,8327
100,8328
100,8329
100,8330
100,8331
100,8332
100,8333
100,8334
100,8335
100,8336
100,8337
100,8338
100,8339
100,8340
100,8341
100,8342
100,8343
100,8344
100,8345
101,7721
101,8345
101,8346
102,7718
102,7719
102,7720
102,8346
102,8485
102,8486
103,7717
103,8346
103,8347
103,8484
103,8486
103,8487
103,8488
103,8489
103,8490
103,8491
103,8492
103,8493
103,8494
103,8495
103,8496
103,8497
103,8498
103,8499
103,8500
103,8501
103,8502
103,8503
103,8504
103,8505
103,8506
103,8507
103,8508
103,8509
103,8510
103,8511
103,8512
103,8513
103,8514
103,8515
103,8516
103,8517
103,8518
103,8519
103,8520
103,8521
103,8522
103,8523
103,8524
103,8525
103,8526
103,8527
103,8528
103,8529
103,8530
103,8531
103,8532
103,8533
103,8534
103,8535
103,8536
103,8537
103,8538
103,8539
103,8540
103,8541
103,8542
103,8543
103,8544
103,8545
103,8546
103,8547
103,8548
103,8549
103,8550
103,8551
103,8552
103,8553
103,8554
103,8555
104,7716
104,8347
104,8348
104,8484
104,8485
104,8555
104,8556
104,8557
104,8559
104,8560
104,8561
104,8562
104,8569
104,8570
104,8571
104,8572
104,8573
104,8574
104,8575
104,8576
104,8577
104,8578
104,8579
104,8580
104,8581
104,8582
104,8583
104,8584
104,8585
104,8586
104,8587
104,8588
104,8589
104,8590
104,8591
104,8592
104,8593
104,8594
104,8595
104,8596
104,8597
104,8598
104,8599
104,8600
104,8601
104,8602
104,8603
104,8604
104,8605
104,8606
105,7713
105,7714
105,7716
105,8348
105,8483
105,8484
105,8485
105,8557
105,8558
105,8562
105,8563
105,8564
105,8565
105,8566
105,8567
105,8568
105,8587
105,8588
105,8589
105,8606
105,8607
105,8608
105,8609
105,8610
105,8611
105,8612
105,8613
105,8614
105,8615
105,8616
105,8621
105,8622
105,8623
106,7712
106,7714
106,7715
106,8348
106,8481
106,8482
106,8586
106,8587
106,8588
106,8589
106,8616
106,8620
106,8621
106,8622
106,8623
106,8624
106,8625
106,8626
107,7709
107,7710
107,7712
107,8348
107,8349
107,8480
107,8616
107,8617
107,8618
107,8619
107,8620
107,8621
107,8622
107,8626
107,8627
107,8628
107,8629
107,8630
107,8631
107,8632
107,8633
107,8634
107,8635
107,8636
107,8637
107,8638
107,8639
107,8640
107,8641
107,8642
107,8643
107,8644
107,8645
107,8646
107,8647
107,8648
107,8649
108,7708
108,7710
108,7711
108,8349
108,8480
108,8649
108,8650
108,8651
108,8652
108,8653
108,8654
108,8655
108,8656
108,8657
108,8658
108,8659
108,8660
108,8661
108,8662
108,8663
108,8664
108,8665
108,8666
108,8667
108,8668
108,8669
108,8670
108,8671
108,8672
108,8673
108,8674
108,8675
108,8676
108,8677
108,8678
108,8679
108,8680
108,8681
108,8682
108,8683
108,8684
108,8685
108,8686
108,8687
108,8688
108,8689
108,8690
108,8691
108,8692
108,8693
108,8694
108,8695
108,8696
108,8697
108,8698
108,8699
108,8700
108,8701
108,8704
108,8705
109,7705
109,7706
109,7708
109,8349
109,8479
109,8701
109,8702
109,8703
109,8705
109,8706
109,8707
109,8708
109,8709
109,8710
109,8711
109,8712
109,8713
109,8714
109,8715
109,8716
109,8717
109,8718
109,8719
109,8720
109,8721
109,8722
109,8723
109,8724
109,8725
109,8726
109,8727
109,8728
109,8729
109,8730
109,8731
109,8732
109,8733
109,8734
109,8735
109,8736
109,8737
109,8738
109,8739
109,8740
109,8741
109,8742
109,8743
109,8744
109,8745
109,8746
109,8747
109,8748
109,8749
109,8750
109,8751
109,8752
109,8753
109,8754
109,8755
109,8756
109,8757
109,8758
109,8759
109,8760
109,8761
109,8762
110,7704
110,7706
110,7707
110,8349
110,8350
110,8478
110,8762
110,8763
110,8764
110,8765
110,8766
110,8767
110,8768
110,8769
110,8770
110,8771
110,8772
110,8773
110,8774
110,8775
110,8776
110,8777
110,8778
110,8779
110,8780
110,8781
110,8782
110,8783
110,8784
110,8785
110,8786
110,8787
110,8788
110,8789
110,8790
110,8791
110,8792
110,8793
110,8794
110,8795
110,8796
110,8797
110,8798
110,8799
110,8800
110,8801
110,8802
110,8803
110,8804
110,8805
110,8806
110,8807
110,8808
110,8809
110,8810
110,8811
110,8812
110,8813
110,8814
110,8815
110,8816
110,8817
110,8818
110,8819
111,7704
111,8350
111,8478
111,8479
111,8819
111,8820
111,8821
111,8822
111,8823
111,8824
111,8825
111,8826
111,8827
111,8828
111,8829
111,8830
111,8831
111,8832
111,8833
111,8834
111,8835
111,8841
111,8842
111,8843
111,8844
111,8845
111,8846
111,8847
111,8848
111,8849
111,8850
111,8851
111,8852
111,8853
111,8854
111,8855
111,8856
111,8857
111,8858
111,8859
111,8860
111,8861
111,8862
111,8863
111,8864
111,8865
111,8866
111,8867
111,8868
111,8869
111,8870
111,8871
111,8872
111,8873
111,8874
111,8875
112,5810
112,7702
112,7703
112,8350
112,8479
112,8835
112,8836
112,8837
112,8838
112,8839
112,8840
112,8875
112,8876
112,8877
112,8878
112,8879
112,8880
112,8881
112,8882
112,8883
112,8884
112,8885
112,8886
112,8887
112,8888
112,8889
112,8890
112,8891
112,8892
112,8893
112,8894
112,8895
112,8896
112,8897
112,8898
112,8899
112,8900
112,8901
112,8902
112,8903
112,8904
112,8905
112,8906
112,8907
112,8908
112,8909
112,8910
112,8911
112,8912
112,8913
112,8914
112,8915
112,8916
112,8917
112,8918
112,8919
112,8920
112,8921
112,8922
112,8923
112,8924
112,8925
112,8926
112,8927
112,8928
112,8929
112,8930
113,5809
113,5810
113,7701
113,8350
113,8351
113,8479
113,8930
113,8931
113,8932
113,8933
113,8934
113,8935
113,8936
113,8937
113,8938
113,8939
113,8940
113,8941
113,8942
113,8943
113,8944
113,8945
113,8946
113,8947
113,8948
113,8949
113,8950
113,8951
113,8952
113,8953
113,8954
113,8955
113,8956
113,8957
113,8958
113,8959
113,8960
113,8961
113,8962
113,8963
113,8964
113,8965
113,8966
113,8967
113,8968
113,8969
113,8970
113,8971
113,8972
113,8973
113,8974
113,8975
113,8976
113,8977
113,8978
113,8979
113,8980
113,8981
113,8982
113,8983
113,8984
113,8985
113,8986
114,5808
114,5809
114,7701
114,8351
114,8479
114,8986
114,8987
114,8988
114,8989
114,8990
114,8991
114,8992
114,8993
114,8994
114,8995
114,8996
114,8997
114,8998
114,8999
114,9000
114,9001
114,9002
114,9003
114,9004
114,9005
114,9006
114,9007
114,9008
114,9009
114,9010
114,9011
114,9012
114,9013
114,9014
114,9015
114,9016
114,9017
114,9018
114,9019
114,9020
114,9021
114,9022
114,9023
114,9024
114,9025
114,9026
114,9027
114,9028
114,9029
115,5807
115,5808
115,7700
115,8351
115,8352
115,8478
115,8479
115,9029
115,9030
115,9031
115,9032
115,9033
115,9034
115,9035
115,9036
115,9037
115,9038
115,9039
115,9040
115,9041
115,9042
115,9043
115,9044
115,9045
115,9046
115,9047
115,9048
115,9049
115,9050
115,9051
115,9052
115,9053
115,9054
115,9055
115,9056
115,9057
115,9058
115,9059
115,9060
115,9061
115,9062
115,9063
115,9064
115,9065
115,9066
115,9067
115,9068
115,9069
115,9070
115,9071
115,9072
115,9073
115,9074
115,9075
115,9076
115,9077
115,9078
115,9079
115,9080
115,9081
115,9082
115,9083
115,9084
115,9085
116,7699
116,7700
116,8352
116,8353
116,8479
116,9085
116,9086
116,9087
116,9088
116,9089
116,9090
116,9091
116,9092
116,9093
116,9094
116,9095
116,9096
116,9097
116,9098
116,9099
116,9100
116,9101
116,9102
116,9103
116,9104
116,9105
116,9106
116,9107
116,9108
116,9138
116,9139
116,9140
116,9141
116,9142
116,9143
116,9145
116,9146
116,9147
116,9148
116,9149
117,7700
117,8353
117,8354
117,8479
117,9108
117,9109
117,9110
117,9111
117,9112
117,9113
117,9114
117,9115
117,9116
117,9117
117,9118
117,9119
117,9120
117,9121
117,9122
117,9123
117,9124
117,9125
117,9126
117,9127
117,9128
117,9129
117,9130
117,9131
117,9134
117,9135
117,9136
117,9137
117,9143
117,9144
117,9149
117,9150
117,9151
117,9152
117,9153
117,9154
117,9155
117,9156
117,9157
117,9158
117,9159
117,9160
117,9161
117,9162
117,9163
117,9164
117,9165
117,9178
117,9179
117,9180
117,9181
117,9182
117,9183
117,9184
117,9285
117,9286
118,7699
118,8354
118,8355
118,8478
118,9131
118,9132
118,9133
118,9165
118,9166
118,9167
118,9168
118,9169
118,9170
118,9171
118,9172
118,9173
118,9174
118,9175
118,9176
118,9177
118,9184
118,9185
118,9186
118,9187
118,9188
118,9189
118,9190
118,9191
118,9192
118,9193
118,9194
118,9195
118,9196
118,9197
118,9198
118,9199
118,9202
118,9203
118,9273
118,9274
118,9275
118,9276
118,9277
118,9278
118,9279
118,9280
118,9281
118,9282
118,9283
118,9284
118,9286
118,9287
119,7698
119,8355
119,8356
119,8478
119,8479
119,9199
119,9200
119,9201
119,9203
119,9204
119,9205
119,9206
119,9207
119,9208
119,9209
119,9210
119,9211
119,9212
119,9213
119,9214
119,9215
119,9216
119,9217
119,9218
119,9219
119,9220
119,9221
119,9222
119,9223
119,9224
119,9225
119,9226
119,9227
119,9228
119,9229
119,9230
119,9231
119,9232
119,9233
119,9234
119,9235
119,9236
119,9237
119,9238
119,9272
119,9273
119,9287
119,9288
119,9290
119,9291
119,9292
119,9293
119,9295
119,9302
120,7696
120,7697
120,8356
120,8357
120,8479
120,9238
120,9239
120,9240
120,9241
120,9242
120,9243
120,9244
120,9245
120,9246
120,9247
120,9248
120,9249
120,9250
120,9251
120,9252
120,9253
120,9254
120,9255
120,9256
120,9257
120,9258
120,9259
120,9260
120,9261
120,9262
120,9263
120,9264
120,9265
120,9266
120,9267
120,9268
120,9269
120,9270
120,9271
120,9272
120,9273
120,9288
120,9289
120,9293
120,9294
120,9295
120,9301
120,9302
120,9304
120,9305
120,9307
120,9308
120,9309
120,9310
120,9311
120,9312
120,9313
120,9314
120,9315
120,9316
120,9317
120,9318
120,9319
120,9320
120,9321
120,9322
120,9323
120,9324
120,9325
120,9327
120,9328
120,9329
120,9330
120,9331
120,9332
120,9333
120,9334
120,9335
120,9336
120,9337
120,9338
120,9339
120,9340
120,9341
120,9342
120,9343
120,9344
120,9345
120,9346
120,9347
120,9358
120,9359
120,9360
120,9361
121,7695
121,7696
121,8357
121,8478
121,9294
121,9295
121,9296
121,9297
121,9298
121,9299
121,9300
121,9301
121,9302
121,9303
121,9305
121,9306
121,9325
121,9326
121,9347
121,9348
121,9349
121,9350
121,9351
121,9352
121,9353
121,9354
121,9355
121,9356
121,9357
121,9361
121,9362
121,9363
121,9364
121,9365
121,9366
121,9367
121,9368
121,9369
121,9370
121,9371
121,9372
121,9381
121,9382
121,9383
121,9384
121,9385
121,9386
121,9387
121,9388
121,9389
121,9390
121,9391
121,9392
121,9393
121,9394
121,9395
121,9396
121,9397
121,9398
121,9399
121,9400
121,9401
121,9402
121,9403
121,9404
121,9405
121,9406
121,9407
121,9408
121,9409
121,9410
121,9411
121,9412
121,9413
121,9414
122,7696
122,8357
122,8358
122,8478
122,9372
122,9373
122,9374
122,9375
122,9376
122,9377
122,9378
122,9379
122,9380
122,9414
122,9415
122,9416
122,9417
122,9418
122,9419
122,9420
122,9421
122,9422
122,9423
122,9424
122,9425
122,9426
122,9427
122,9428
122,9429
122,9430
122,9431
122,9432
122,9433
122,9434
122,9435
122,9436
122,9437
122,9438
122,9439
122,9440
122,9441
122,9442
122,9443
122,9444
122,9445
122,9446
122,9447
122,9448
122,9449
122,9450
122,9451
122,9452
122,9453
122,9454
122,9455
122,9456
122,9457
122,9458
122,9459
122,9460
122,9461
122,9462
122,9463
122,9464
122,9465
123,7696
123,8358
123,8477
123,9465
123,9466
123,9467
123,9468
123,9469
123,9470
123,9471
123,9472
123,9473
123,9474
123,9475
123,9476
123,9477
123,9478
123,9479
123,9480
123,9481
123,9482
123,9483
123,9484
123,9485
123,9486
123,9487
123,9488
123,9489
123,9490
123,9491
123,9492
123,9493
123,9494
123,9495
123,9496
123,9497
123,9498
123,9499
123,9500
123,9501
123,9502
123,9503
123,9504
123,9505
123,9506
123,9507
123,9508
123,9509
123,9510
123,9511
124,7695
124,8358
124,8359
124,8477
124,8478
124,9511
124,9546
124,9557
124,9558
124,9559
124,9560
124,9561
124,9562
124,9564
124,9565
124,9567
124,9568
124,9569
125,7692
125,7693
125,7694
125,8359
125,8478
125,9510
125,9511
125,9512
125,9513
125,9514
125,9515
125,9516
125,9517
125,9518
125,9519
125,9520
125,9521
125,9522
125,9523
125,9524
125,9525
125,9526
125,9527
125,9528
125,9529
125,9530
125,9531
125,9532
125,9533
125,9534
125,9535
125,9536
125,9537
125,9538
125,9539
125,9540
125,9541
125,9542
125,9543
125,9544
125,9545
125,9546
125,9547
125,9548
125,9549
125,9550
125,9551
125,9552
125,9553
125,9554
125,9555
125,9556
125,9562
125,9563
125,9565
125,9566
125,9569
125,9570
125,9571
125,9572
125,9573
125,9574
125,9575
125,9576
125,9577
125,9578
125,9579
125,9580
125,9581
125,9582
125,9583
125,9584
125,9585
125,9586
125,9587
125,9588
125,9589
125,9590
125,9591
125,9592
125,9593
125,9594
125,9595
125,9596
125,9597
125,9598
125,9599
125,9600
125,9601
125,9602
125,9603
125,9604
125,9605
125,9606
125,9607
125,9608
125,9609
125,9610
125,9611
125,9612
125,9613
125,9614
125,9615
125,9616
125,9617
125,9618
125,9619
125,9620
125,9621
125,9622
126,7691
126,8359
126,8478
126,9622
126,9623
126,9624
126,9625
126,9626
126,9627
126,9628
126,9629
126,9630
126,9631
126,9632
126,9633
126,9634
126,9635
126,9636
126,9637
126,9638
126,9639
126,9640
126,9641
126,9642
126,9643
126,9644
126,9645
126,9646
126,9647
126,9648
126,9649
126,9650
126,9651
126,9652
126,9653
126,9654
126,9655
126,9656
126,9657
126,9658
126,9659
126,9660
126,9661
126,9662
126,9663
126,9664
126,9665
126,9666
126,9667
126,9668
126,9669
126,9670
126,9671
126,9672
126,9673
126,9674
127,7691
127,8359
127,8477
127,9674
127,9675
127,9676
127,9677
127,9678
127,9679
127,9680
127,9681
