Y Coordinate,X Coordinate
2560,3483
2560,4425
2560,4426
2561,3483
2561,4426
2561,4427
2562,3483
2562,4427
2562,4428
2563,3482
2563,4428
2563,4429
2564,3481
2564,4429
2564,4430
2564,4431
2565,3476
2565,3477
2565,3478
2565,3479
2565,3480
2565,3481
2565,4431
2565,4432
2566,3475
2566,4432
2566,4433
2566,4456
2566,4457
2566,4458
2566,4459
2567,3474
2567,3475
2567,4433
2567,4434
2567,4435
2567,4451
2567,4452
2567,4453
2567,4455
2567,4459
2567,4460
2568,3475
2568,3476
2568,4435
2568,4436
2568,4437
2568,4438
2568,4439
2568,4440
2568,4441
2568,4442
2568,4450
2568,4453
2568,4454
2568,4455
2568,4460
2569,3476
2569,3477
2569,4442
2569,4443
2569,4449
2569,4450
2569,4454
2569,4455
2569,4456
2569,4457
2569,4458
2569,4459
2570,3477
2570,3478
2570,3479
2570,4443
2570,4444
2570,4445
2570,4446
2570,4447
2570,4448
2570,4449
2570,4450
2570,4454
2570,4455
2571,3479
2571,4455
2571,4456
2571,4457
2571,4458
2571,4459
2571,4460
2571,4461
2571,4462
2572,3479
2572,4462
2572,4463
2573,3479
2573,3480
2573,4463
2573,4464
2574,3480
2574,4464
2574,4465
2575,3479
2575,4465
2575,4466
2576,3479
2576,4466
2576,4467
2577,3479
2577,4467
2577,4468
2578,3479
2578,4468
2578,4469
2578,4470
2578,4471
2578,4472
2578,4473
2579,3479
2579,4473
2579,4474
2579,4475
2579,4476
2579,4477
2580,3479
2580,4477
2580,4478
2581,3479
2581,4478
2582,3479
2582,4478
2582,4479
2583,3478
2583,4479
2583,4480
2583,4493
2584,3478
2584,4480
2584,4492
2584,4493
2584,4494
2585,3476
2585,3477
2585,4480
2585,4491
2585,4494
2586,3475
2586,3476
2586,3477
2586,4480
2586,4481
2586,4491
2586,4494
2587,3476
2587,3477
2587,4481
2587,4482
2587,4490
2587,4494
2588,3477
2588,4482
2588,4489
2588,4490
2588,4493
2589,3476
2589,4482
2589,4490
2589,4491
2589,4492
2590,3476
2590,3477
2590,4482
2590,4483
2590,4484
2590,4485
2590,4486
2591,3477
2591,3478
2591,4486
2591,4487
2591,4488
2592,3478
2592,4488
2592,4489
2593,3478
2593,4489
2593,4490
2594,3478
2594,4490
2594,4491
2595,3478
2595,4491
2595,4492
2596,3478
2596,4492
2596,4493
2597,3477
2597,4493
2598,3476
2598,4493
2598,4494
2598,4495
2598,4500
2598,4501
2598,4520
2598,4521
2598,4522
2598,4523
2598,4524
2598,4525
2599,3475
2599,4495
2599,4496
2599,4499
2599,4501
2599,4502
2599,4519
2599,4525
2599,4526
2600,3475
2600,4496
2600,4497
2600,4498
2600,4502
2600,4518
2600,4526
2601,3475
2601,3476
2601,4502
2601,4518
2601,4519
2601,4526
2601,4527
2602,3476
2602,3477
2602,4501
2602,4502
2602,4504
2602,4519
2602,4520
2602,4527
2603,3475
2603,3476
2603,3477
2603,3480
2603,3481
2603,3482
2603,3483
2603,4502
2603,4503
2603,4504
2603,4505
2603,4520
2603,4526
2603,4527
2604,3477
2604,3478
2604,3479
2604,3483
2604,4501
2604,4502
2604,4505
2604,4506
2604,4511
2604,4512
2604,4520
2604,4527
2605,3421
2605,3483
2605,3485
2605,4501
2605,4502
2605,4503
2605,4506
2605,4507
2605,4508
2605,4509
2605,4510
2605,4512
2605,4513
2605,4514
2605,4515
2605,4516
2605,4517
2605,4518
2605,4519
2605,4527
2606,3420
2606,3421
2606,3483
2606,3484
2606,3485
2606,4499
2606,4500
2606,4503
2606,4527
2606,4528
2606,4529
2606,4530
2606,4531
2606,4532
2606,4533
2606,4534
2607,3485
2607,4498
2607,4501
2607,4502
2607,4534
